"Household Income in Chicago Community Areas
Note: All median income data are adjusted to year 2020 dollars.
",,,,,,,,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
"$60,000 to $74,999",,,"1,722","2,829","2,767","2,664","2,633","2,588","2,489","2,429","2,356","2,252","1,860"
"$75,000 to $99,999",,,"1,171","3,012","3,076","3,006","3,106","2,890","3,052","3,148","3,463","3,197","3,468"
"$100,000 to $124,999",,,337,"1,374","2,023","2,102","2,068","2,121","2,066","1,899","2,022","2,411","2,448"
"$125,000 to $149,999",,,66,548,887,952,940,"1,033","1,037","1,423","1,354","1,339","1,539"
"$150,000 to $199,999",,,118,356,"1,038",986,"1,094","1,440","1,523","1,672","1,902","2,108","2,226"
"$200,000 or more",,,,239,413,446,471,625,869,"1,001","1,201","1,519","1,724"
Median household income,"$65,106","$62,255","$64,873","$70,036","$60,207","$59,037","$59,820","$61,798","$62,531","$64,250","$67,480","$70,862","$75,635"
,,,,,,,,,,,,,
16. Irving Park,,,,,,,,,,,,,
Total,"20,741","20,489","19,554","20,900","20,177","20,302","20,313","20,300","20,428","20,236","20,410","20,561","20,916"
"Less than $10,000",,,2510,1500,1077,1233,1301,1183,1129,868,881,795,729
"$10,000 to $14,999",,,1774,1092,1081,1113,917,702,612,636,478,447,504
"$15,000 to $19,999",,,2122,1179,1072,1070,1015,995,830,747,736,779,725
"$20,000 to $24,999",,,1834,1437,1007,1085,1168,1151,1021,956,890,723,729
"$25,000 to $29,999",,,"1,943","1,666","1,456","1,327","1,202","1,178",992,"1,076","1,055","1,119","1,077"
"$30,000 to $34,999",,,1871,1594,1307,1478,1220,1365,1256,1164,921,926,709
"$35,000 to $39,999",,,1523,1358,821,935,1289,1199,1302,1020,908,809,752
"$40,000 to $44,999",,,1216,1423,1069,1154,1113,953,951,1062,874,870,901
"$45,000 to $49,999",,,1090,1179,1042,1228,1207,1053,975,918,934,789,782
"$50,000 to $59,999",,,"1,313","2,161","1,355","1,303","1,531","1,858","1,925","1,752","1,879","2,040","1,785"
"$60,000 to $74,999",,,"1,196","2,374","1,950","1,714","1,693","1,736","1,807","2,040","2,117","2,145","2,198"
"$75,000 to $99,999",,,731,"1,847","2,602","2,319","2,470","2,388","2,619","2,517","2,412","2,531","2,780"
"$100,000 to $124,999",,,247,"1,057","1,442","1,464","1,463","1,643","1,683","1,690","1,792","1,843","1,932"
"$125,000 to $149,999",,,67,551,799,787,975,"1,064","1,006","1,088","1,212","1,167","1,373"
"$150,000 to $199,999",,,117,218,939,871,878,"1,004","1,282","1,528","1,739","1,690","1,783"
"$200,000 or more",,,,264,"1,158","1,221",871,828,"1,038","1,174","1,582","1,888","2,157"
Median household income,"$58,824","$55,234","$58,036","$65,254","$57,432","$53,217","$53,251","$56,413","$59,794","$62,490","$65,828","$67,004","$71,513"
,,,,,,,,,,,,,
17. Dunning,,,,,,,,,,,,,
Total,"13,985","13,879","14,074","15,561","15,141","15,172","15,301","15,432","15,536","15,616","15,683","15,476","15,886"
"Less than $10,000",,,1475,837,910,884,815,886,794,773,740,670,717
"$10,000 to $14,999",,,1131,715,704,653,625,563,477,550,499,515,528
"$15,000 to $19,999",,,949,837,714,746,746,740,859,782,853,804,574
"$20,000 to $24,999",,,1166,910,760,798,812,783,785,620,544,677,673
"$25,000 to $29,999",,,976,759,538,630,601,802,737,848,629,566,307
"$30,000 to $34,999",,,1197,950,645,695,864,780,745,696,646,501,543
"$35,000 to $39,999",,,1209,896,661,662,597,674,692,592,394,508,831
"$40,000 to $44,999",,,971,1065,718,739,850,859,807,673,776,684,525
"$45,000 to $49,999",,,888,917,639,627,545,554,631,601,525,470,490
"$50,000 to $59,999",,,"1,572","1,688","1,104","1,106","1,055","1,104","1,076","1,037","1,147","1,187","1,346"
"$60,000 to $74,999",,,"1,269","1,964","1,848","1,865","1,783","1,646","1,557","1,604","1,594","1,413","1,455"
"$75,000 to $99,999",,,923,"2,170","2,410","2,373","2,318","2,427","2,463","2,620","2,533","2,460","2,483"
"$100,000 to $124,999",,,224,"1,047","1,644","1,661","1,705","1,570","1,589","1,801","1,811","1,804","1,880"
"$125,000 to $149,999",,,69,399,843,836,976,909,1065,982,1285,1245,1265
"$150,000 to $199,999",,,55,273,651,552,641,756,865,910,1048,1234,1337
"$200,000 or more",,,,134,352,345,368,379,394,527,659,738,932
Median household income,"$71,192","$69,726","$71,546","$76,633","$68,864","$66,923","$66,562","$65,119","$66,042","$68,517","$71,604","$72,807","$74,426"
,,,,,,,,,,,,,
18. Montclare,,,,,,,,,,,,,
Total,"4,070","4,103","4,044","4,125","4,425","4,350","4,403","4,397","4,438","4,512","4,577","4,560","4,612"
"Less than $10,000",,,404,197,437,364,445,474,374,470,519,364,250
"$10,000 to $14,999",,,337,240,168,207,232,178,164,180,137,77,172
"$15,000 to $19,999",,,333,214,343,301,227,212,175,304,346,302,339
"$20,000 to $24,999",,,312,277,238,218,172,180,164,197,256,397,410
"$25,000 to $29,999",,,364,250,350,405,457,447,392,285,308,234,356
"$30,000 to $34,999",,,402,279,227,283,262,269,236,233,266,345,149
"$35,000 to $39,999",,,289,318,308,236,322,284,315,267,291,199,227
"$40,000 to $44,999",,,346,200,236,220,279,265,256,177,157,147,71
"$45,000 to $49,999",,,249,248,98,138,154,141,202,233,175,114,152
"$50,000 to $59,999",,,365,441,440,457,457,430,350,257,228,308,306
"$60,000 to $74,999",,,337,366,381,342,188,166,255,338,339,335,404
"$75,000 to $99,999",,,236,561,483,488,546,561,674,579,436,510,607
"$100,000 to $124,999",,,48,386,354,351,354,427,415,404,481,354,270
"$125,000 to $149,999",,,16,75,164,139,135,178,218,248,217,337,270
"$150,000 to $199,999",,,6,65,83,106,67,33,61,170,225,308,296
"$200,000 or more",,,,8,115,95,106,152,187,170,196,229,333
Median household income,"$66,676","$65,508","$66,730","$72,394","$48,269","$48,341","$45,200","$46,657","$52,181","$50,392","$46,566","$53,676","$55,498"
,,,,,,,,,,,,,
19. Belmont Cragin,,,,,,,,,,,,,
Total,"20,720","21,294","20,157","21,916","21,570","21,511","21,506","21,754","21,968","22,131","22,495","22,476","22,723"
"Less than $10,000",,,"2,637","1,685","1,453","1,245","1,166","1,201","1,216","1,246","1,296","1,256","1,337"
"$10,000 to $14,999",,,"1,820","1,184","1,336","1,388","1,414","1,556","1,490","1,471","1,156","1,236",817
"$15,000 to $19,999",,,1868,1156,1540,1337,1357,1228,1161,1159,1193,995,1166
"$20,000 to $24,999",,,"1,975","1,222","1,440","1,539","1,603","1,617","1,600","1,567","1,531","1,569","1,319"
"$25,000 to $29,999",,,"1,810","1,589","1,519","1,550","1,513","1,455","1,347","1,262","1,434","1,369","1,330"
"$30,000 to $34,999",,,"1,812","1,548","1,401","1,490","1,466","1,466","1,481","1,310","1,115","1,114","1,088"
"$35,000 to $39,999",,,"1,797","1,581","1,480","1,567","1,427","1,387","1,404","1,370","1,317","1,160",816
"$40,000 to $44,999",,,"1,523","1,503","1,326","1,276","1,246","1,361","1,336","1,258","1,296","1,376","1,181"
"$45,000 to $49,999",,,1082,1294,1077,1051,959,900,849,928,752,841,793
"$50,000 to $59,999",,,"1,611","2,604","2,198","2,070","2,248","2,242","2,327","2,180","2,029","1,904","1,861"
"$60,000 to $74,999",,,"1,218","2,458","2,123","2,210","2,210","2,251","2,344","2,293","2,364","2,192","2,349"
"$75,000 to $99,999",,,619,"2,221","2,196","2,048","2,069","2,114","2,120","2,252","2,863","3,200","3,395"
"$100,000 to $124,999",,,209,873,"1,330","1,499","1,459","1,460","1,654","1,798","1,743","1,555","1,889"
"$125,000 to $149,999",,,93,438,644,675,678,806,842,931,1186,1240,1343
"$150,000 to $199,999",,,83,351,433,512,585,548,518,798,797,954,1390
"$200,000 or more",,,,209,74,54,106,162,279,308,423,515,649
Median household income,"$61,562","$60,673","$60,219","$66,997","$47,493","$47,017","$47,075","$47,373","$48,248","$49,566","$52,157","$52,172","$57,868"
,,,,,,,,,,,,,
20. Hermosa,,,,,,,,,,,,,
Total,"7,090","7,089","6,724","7,202","7,070","6,948","6,923","7,099","6,982","7,022","7,016","7,112","7,178"
"Less than $10,000",,,1176,823,501,531,564,520,597,543,448,377,430
"$10,000 to $14,999",,,585,469,388,350,424,438,433,469,521,383,312
"$15,000 to $19,999",,,607,543,509,567,576,623,554,553,425,422,269
"$20,000 to $24,999",,,785,585,418,491,490,436,462,426,487,413,320
"$25,000 to $29,999",,,567,460,592,600,589,576,621,592,479,455,349
"$30,000 to $34,999",,,491,351,528,581,586,530,480,457,530,557,586
"$35,000 to $39,999",,,622,557,512,509,466,513,401,513,420,508,379
"$40,000 to $44,999",,,458,494,362,318,329,313,322,342,329,302,333
"$45,000 to $49,999",,,299,433,325,274,256,337,337,184,329,363,348
"$50,000 to $59,999",,,546,673,722,572,499,573,546,641,687,673,551
"$60,000 to $74,999",,,341,772,852,821,776,682,487,430,373,528,802
"$75,000 to $99,999",,,115,605,731,637,676,756,836,780,833,767,826
"$100,000 to $124,999",,,97,229,259,306,327,335,421,450,470,462,580
"$125,000 to $149,999",,,21,92,194,203,196,245,204,268,246,334,388
"$150,000 to $199,999",,,14,47,161,171,124,154,150,221,219,276,378
"$200,000 or more",,,,69,16,17,45,68,131,153,220,292,327
Median household income,"$58,480","$54,542","$53,849","$59,235","$46,288","$42,543","$40,767","$42,607","$42,242","$41,555","$44,156","$47,448","$54,355"
,,,,,,,,,,,,,
21. Avondale,,,,,,,,,,,,,
Total,"13,318","13,160","12,726","13,738","13,801","13,707","13,560","13,564","13,518","13,335","13,388","13,639","13,735"
"Less than $10,000",,,2190,1403,980,1045,1007,934,813,834,583,590,660
"$10,000 to $14,999",,,1319,1037,761,787,714,799,746,645,538,469,433
"$15,000 to $19,999",,,1256,871,645,686,786,750,804,687,678,593,498
"$20,000 to $24,999",,,1169,1047,893,792,898,931,858,819,755,536,638
"$25,000 to $29,999",,,1218,1073,750,900,991,1070,960,855,602,489,370
"$30,000 to $34,999",,,1070,1065,941,985,920,843,701,704,747,799,565
"$35,000 to $39,999",,,984,1014,801,801,780,804,814,678,674,564,409
"$40,000 to $44,999",,,736,832,870,907,769,698,645,667,596,624,613
"$45,000 to $49,999",,,657,790,959,950,790,824,770,613,474,462,435
"$50,000 to $59,999",,,975,1304,1323,1205,1207,1117,1040,972,1047,1159,1061
"$60,000 to $74,999",,,656,"1,340","1,569","1,337","1,395","1,455","1,497","1,365","1,410","1,308","1,306"
"$75,000 to $99,999",,,318,"1,141","1,270","1,309","1,336","1,374","1,428","1,570","1,758","1,696","1,822"
"$100,000 to $124,999",,,101,364,850,730,607,597,869,"1,071","1,243","1,577","1,392"
"$125,000 to $149,999",,,24,181,637,544,587,597,522,560,688,752,813
"$150,000 to $199,999",,,53,119,338,403,465,449,584,681,875,948,1544
"$200,000 or more",,,,157,214,326,308,322,467,614,720,1073,1176
Median household income,"$55,107","$50,865","$53,814","$56,935","$52,066","$49,610","$48,479","$48,683","$51,257","$54,106","$61,783","$66,302","$73,343"
,,,,,,,,,,,,,
22. Logan Square,,,,,,,,,,,,,
Total,"30,496","29,317","26,196","28,855","29,492","29,533","29,237","29,195","29,362","29,573","29,818","30,250","31,191"
"Less than $10,000",,,"5,919","3,467","1,965","2,072","2,083","1,939","1,776","1,612","1,394","1,303","1,262"
"$10,000 to $14,999",,,2813,2035,1824,1857,1629,1617,1459,1248,997,975,1101
"$15,000 to $19,999",,,"2,747","2,011","1,282","1,378","1,262","1,077","1,174","1,207","1,181","1,108","1,039"
"$20,000 to $24,999",,,"2,883","2,264","1,539","1,792","1,746","1,741","1,507","1,253","1,193","1,219","1,165"
"$25,000 to $29,999",,,2407,1879,1769,1579,1414,1401,1274,1174,810,819,830
"$30,000 to $34,999",,,2026,2265,1543,1435,1446,1412,1142,1019,1075,970,919
"$35,000 to $39,999",,,1557,1844,1367,1212,1172,1092,1227,1142,1126,973,788
"$40,000 to $44,999",,,1363,1679,1577,1364,1320,1187,1190,1048,1062,755,850
"$45,000 to $49,999",,,1105,1487,1133,1163,1036,955,1026,989,1044,1090,960
"$50,000 to $59,999",,,"1,236","2,216","2,474","2,242","2,321","2,195","2,057","1,903","2,012","1,944","2,171"
"$60,000 to $74,999",,,"1,110","2,690","2,613","2,824","2,934","2,875","2,897","2,957","2,791","2,558","2,822"
"$75,000 to $99,999",,,604,"2,290","3,012","3,146","3,095","3,323","3,597","3,907","3,843","3,982","4,041"
"$100,000 to $124,999",,,263,"1,135","2,403","2,192","2,273","2,386","2,597","2,653","2,859","3,059","3,025"
"$125,000 to $149,999",,,103,605,"1,491","1,350","1,519","1,785","1,910","2,172","2,490","2,654","2,521"
"$150,000 to $199,999",,,60,449,"1,852","2,063","2,091","2,142","2,018","2,267","2,545","2,861","3,195"
"$200,000 or more",,,,539,"1,648","1,864","1,896","2,068","2,511","3,022","3,396","3,980","4,502"
Median household income,"$51,582","$43,342","$45,486","$56,263","$59,301","$59,585","$61,285","$65,344","$68,689","$74,090","$78,368","$83,473","$83,808"
,,,,,,,,,,,,,
23. Humboldt Park,,,,,,,,,,,,,
Total,"21,998","21,230","18,271","17,855","16,778","16,304","16,434","16,519","16,537","16,813","17,141","17,518","17,767"
"Less than $10,000",,,"5,190","3,294","3,378","2,969","2,778","2,975","2,838","2,732","2,527","2,372","1,888"
"$10,000 to $14,999",,,"2,008","1,657","1,265","1,263","1,293","1,140","1,158","1,165","1,099","1,036","1,122"
"$15,000 to $19,999",,,1923,1440,1492,1375,1302,1306,1022,1053,977,975,1051
"$20,000 to $24,999",,,"1,817","1,537","1,128","1,167","1,165","1,240","1,208","1,109","1,160","1,200","1,433"
"$25,000 to $29,999",,,"1,389","1,290","1,178","1,260","1,125","1,079","1,010","1,084","1,091","1,118","1,086"
"$30,000 to $34,999",,,"1,417","1,343",937,"1,017","1,115","1,253","1,074","1,050",957,"1,050",817
"$35,000 to $39,999",,,958,"1,192",857,770,887,881,"1,190","1,134","1,057","1,122","1,129"
"$40,000 to $44,999",,,1040,1283,824,916,789,772,779,905,1140,1007,1164
"$45,000 to $49,999",,,511,602,644,663,612,486,460,578,592,712,813
"$50,000 to $59,999",,,830,"1,428","1,172","1,150","1,111","1,028","1,092","1,015","1,190","1,387","1,199"
"$60,000 to $74,999",,,711,"1,145","1,507","1,264","1,525","1,295","1,372","1,472","1,424","1,283","1,530"
"$75,000 to $99,999",,,357,889,"1,286","1,375","1,518","1,668","1,778","1,696","1,826","1,815","1,487"
"$100,000 to $124,999",,,49,403,426,525,618,675,765,793,956,1199,1338
"$125,000 to $149,999",,,30,111,292,196,179,231,273,478,475,488,651
"$150,000 to $199,999",,,41,112,259,240,255,315,334,356,405,469,560
"$200,000 or more",,,,129,133,154,162,175,184,193,265,285,499
Median household income,"$51,808","$40,621","$40,358","$44,594","$33,496","$33,868","$35,281","$34,786","$37,468","$37,671","$39,603","$39,982","$41,405"
,,,,,,,,,,,,,
24. West Town,,,,,,,,,,,,,
Total,"39,240","32,233","28,767","35,316","37,287","36,946","36,779","37,294","37,332","37,127","37,135","37,819","36,782"
"Less than $10,000",,,"8,361","4,948","2,780","2,578","2,406","2,420","2,197","2,017","1,821","1,900","1,583"
"$10,000 to $14,999",,,"3,291","2,490","1,493","1,353","1,405","1,469","1,422","1,437","1,275","1,189",970
"$15,000 to $19,999",,,3144,2370,1515,1562,1437,1161,1248,1140,1073,886,666
"$20,000 to $24,999",,,2926,2043,1786,1964,1734,1663,1406,1125,889,767,677
"$25,000 to $29,999",,,2345,2240,1152,1228,1216,1165,1140,1074,852,814,750
"$30,000 to $34,999",,,2103,1932,1273,1208,1216,1075,1151,1033,1016,847,781
"$35,000 to $39,999",,,1437,2036,1231,1056,961,930,780,667,644,626,587
"$40,000 to $44,999",,,1154,1799,1528,1652,1638,1692,1431,1223,920,760,656
"$45,000 to $49,999",,,830,1649,1298,1295,1219,1276,1273,1168,992,900,596
"$50,000 to $59,999",,,"1,299","2,832","2,612","2,691","2,706","2,391","2,531","2,249","2,276","2,146","2,161"
"$60,000 to $74,999",,,964,"3,234","3,546","3,228","3,464","3,424","3,080","3,026","3,059","2,967","3,145"
"$75,000 to $99,999",,,570,"3,062","4,521","4,492","4,318","4,523","4,759","4,594","4,506","4,431","4,196"
"$100,000 to $124,999",,,185,"1,894","3,373","3,511","3,517","3,784","3,887","3,792","3,819","4,134","3,677"
"$125,000 to $149,999",,,46,963,"2,594","2,357","2,363","2,397","2,420","2,859","3,207","3,572","3,516"
"$150,000 to $199,999",,,112,965,"3,027","3,003","3,065","3,335","3,523","3,976","4,355","4,604","5,298"
"$200,000 or more",,,,859,"3,558","3,768","4,114","4,589","5,084","5,747","6,431","7,276","7,523"
Median household income,"$41,485","$36,456","$38,742","$60,408","$76,113","$75,518","$76,409","$81,707","$85,331","$90,827","$97,657","$104,811","$109,742"
,,,,,,,,,,,,,
25. Austin,,,,,,,,,,,,,
Total,"42,916","41,350","33,862","35,195","32,428","32,059","32,277","32,037","32,379","31,766","32,222","32,660","33,461"
"Less than $10,000",,,"8,311","6,432","4,946","4,869","5,048","4,904","4,903","4,514","4,650","4,765","4,881"
"$10,000 to $14,999",,,"2,736","2,371","2,757","2,738","2,907","2,783","2,870","2,959","2,628","2,704","2,678"
"$15,000 to $19,999",,,"3,027","2,429","3,005","2,870","2,815","2,808","2,654","2,878","2,719","2,895","2,837"
"$20,000 to $24,999",,,"2,915","2,331","2,555","2,609","2,453","2,494","2,635","2,265","2,632","2,505","2,080"
"$25,000 to $29,999",,,"2,588","2,598","2,142","2,031","2,285","2,331","2,228","2,086","1,915","1,915","2,007"
"$30,000 to $34,999",,,"2,646","1,897","2,145","2,386","2,197","2,137","2,343","2,077","2,291","2,199","2,084"
"$35,000 to $39,999",,,"2,401","2,123","1,746","1,820","1,857","1,675","1,499","1,543","1,392","1,567","1,472"
"$40,000 to $44,999",,,"1,919","1,956","1,410","1,541","1,478","1,409","1,454","1,485","1,360","1,340","1,371"
"$45,000 to $49,999",,,"1,587","1,519","1,237","1,186","1,105","1,012","1,324","1,198","1,195","1,201","1,354"
"$50,000 to $59,999",,,"2,302","3,043","2,367","2,083","2,189","2,254","2,048","1,952","2,155","2,145","2,441"
"$60,000 to $74,999",,,"1,930","3,160","2,307","2,367","2,376","2,519","2,513","2,555","2,544","2,230","2,462"
"$75,000 to $99,999",,,"1,170","2,725","2,719","2,657","2,587","2,559","2,583","2,695","2,520","2,503","2,424"
"$100,000 to $124,999",,,200,"1,384","1,342","1,314","1,319","1,439","1,550","1,473","1,592","1,655","1,668"
"$125,000 to $149,999",,,44,508,791,640,731,834,812,898,1427,1522,1914
"$150,000 to $199,999",,,86,412,575,563,547,488,528,731,736,877,969
"$200,000 or more",,,,307,384,385,383,391,435,457,466,637,819
Median household income,"$56,921","$48,175","$50,104","$52,256","$35,721","$35,226","$34,171","$34,339","$34,199","$34,334","$34,246","$33,829","$35,502"
,,,,,,,,,,,,,
26. West Garfield Park,,,,,,,,,,,,,
Total,"12,151","9,257","6,990","6,866","5,714","5,464","5,431","5,358","5,312","5,335","5,332","5,353","5,473"
"Less than $10,000",,,"2,650","1,825","1,488","1,300","1,307","1,281","1,285","1,153","1,161","1,111",993
"$10,000 to $14,999",,,828,638,420,505,468,550,567,552,529,615,664
"$15,000 to $19,999",,,863,622,557,583,543,503,565,670,537,576,563
"$20,000 to $24,999",,,537,522,435,335,366,437,443,450,478,449,281
"$25,000 to $29,999",,,476,611,336,339,374,294,274,316,317,248,265
"$30,000 to $34,999",,,309,417,338,388,363,347,309,305,258,253,279
"$35,000 to $39,999",,,353,381,278,226,204,207,138,171,226,248,258
"$40,000 to $44,999",,,256,279,300,264,248,233,206,197,214,189,326
"$45,000 to $49,999",,,199,284,142,180,197,179,167,197,208,165,213
"$50,000 to $59,999",,,236,355,358,373,360,343,328,333,372,470,515
"$60,000 to $74,999",,,167,451,409,348,389,348,444,414,386,331,337
"$75,000 to $99,999",,,85,268,440,415,445,455,375,363,380,357,397
"$100,000 to $124,999",,,26,93,131,99,58,63,85,90,94,108,104
"$125,000 to $149,999",,,5,45,73,88,74,74,57,70,76,122,123
"$150,000 to $199,999",,,-,6,-,5,22,25,45,36,45,47,106
"$200,000 or more",,,,69,9,16,13,19,24,18,51,64,49
Median household income,"$42,089","$32,083","$30,416","$35,891","$27,499","$27,877","$27,700","$25,943","$24,191","$24,199","$25,241","$24,366","$29,371"
,,,,,,,,,,,,,
27. East Garfield Park,,,,,,,,,,,,,
Total,"14,288","9,895","7,246","6,535","6,896","6,900","6,881","6,924","6,926","6,819","6,722","6,794","6,855"
"Less than $10,000",,,"3,235","1,706","1,864","1,852","1,862","2,009","1,871","1,867","1,749","1,683","1,769"
"$10,000 to $14,999",,,815,708,608,694,886,832,747,758,794,688,747
"$15,000 to $19,999",,,734,520,539,462,506,498,489,476,573,629,695
"$20,000 to $24,999",,,528,386,427,424,403,415,445,495,435,430,353
"$25,000 to $29,999",,,528,419,472,457,470,389,347,343,466,381,366
"$30,000 to $34,999",,,292,449,477,371,270,230,258,245,289,333,383
"$35,000 to $39,999",,,284,373,346,285,257,268,310,232,217,281,277
"$40,000 to $44,999",,,230,333,291,332,363,336,400,344,306,304,252
"$45,000 to $49,999",,,120,362,90,62,141,180,151,199,210,217,215
"$50,000 to $59,999",,,156,441,410,412,351,323,309,297,278,303,270
"$60,000 to $74,999",,,210,318,354,404,424,418,394,414,438,466,404
"$75,000 to $99,999",,,70,324,589,597,539,575,618,577,418,421,370
"$100,000 to $124,999",,,18,64,204,218,197,215,284,314,294,345,327
"$125,000 to $149,999",,,17,32,90,104,74,74,104,91,94,100,127
"$150,000 to $199,999",,,9,34,107,166,96,112,133,94,123,169,205
"$200,000 or more",,,,66,28,60,42,50,66,73,38,44,95
Median household income,"$32,989","$26,515","$24,333","$37,591","$28,256","$27,936","$24,140","$23,244","$25,698","$24,066","$23,270","$24,894","$22,871"
,,,,,,,,,,,,,
28. Near West Side,,,,,,,,,,,,,
Total,"21,695","18,630","16,473","18,141","25,665","26,291","26,973","27,652","28,108","28,162","28,208","28,614","29,519"
"Less than $10,000",,,"8,482","4,876","3,943","4,165","4,116","4,135","4,116","3,936","3,584","3,431","3,163"
"$10,000 to $14,999",,,"1,280","1,361","1,243","1,196","1,204","1,179","1,262","1,324","1,473","1,238","1,243"
"$15,000 to $19,999",,,1170,1105,832,930,1005,1020,1011,1016,973,942,1026
"$20,000 to $24,999",,,773,945,875,849,802,943,942,949,890,785,1030
"$25,000 to $29,999",,,793,845,888,820,849,633,608,646,664,740,712
"$30,000 to $34,999",,,631,751,505,528,517,563,642,614,657,885,888
"$35,000 to $39,999",,,606,817,628,647,542,543,420,444,558,476,420
"$40,000 to $44,999",,,397,778,615,673,609,604,568,536,373,404,464
"$45,000 to $49,999",,,356,523,555,574,700,740,655,484,444,392,427
"$50,000 to $59,999",,,636,"1,010","1,558","1,653","1,342","1,481","1,448","1,241","1,242","1,091","1,075"
"$60,000 to $74,999",,,536,"1,280","2,417","2,237","2,472","2,452","2,291","2,206","2,204","2,026","1,951"
"$75,000 to $99,999",,,378,"1,249","3,160","3,206","3,292","2,955","3,092","2,990","3,038","2,941","3,242"
"$100,000 to $124,999",,,159,945,"2,474","2,502","2,673","2,695","2,756","2,691","2,757","2,774","2,904"
"$125,000 to $149,999",,,118,550,"1,689","1,614","1,874","1,968","1,786","1,989","2,126","1,862","2,113"
"$150,000 to $199,999",,,158,579,"1,984","2,313","2,374","2,699","2,872","3,029","2,909","3,789","3,953"
"$200,000 or more",,,,527,"2,299","2,384","2,602","3,042","3,639","4,067","4,316","4,838","4,908"
Median household income,"$29,809","$20,202","$18,803","$45,930","$75,023","$74,050","$76,786","$78,177","$81,410","$83,736","$84,637","$90,943","$91,907"
,,,,,,,,,,,,,
29. North Lawndale,,,,,,,,,,,,,
Total,"22,577","17,266","13,905","12,391","10,852","10,811","10,755","10,869","11,154","11,295","11,194","11,075","11,332"
"Less than $10,000",,,"6,076","4,213","2,708","2,851","2,655","2,656","2,512","2,254","2,138","2,123","2,199"
"$10,000 to $14,999",,,"1,660","1,232","1,195","1,010","1,106","1,203","1,214","1,167","1,184","1,108","1,057"
"$15,000 to $19,999",,,1375,1048,989,1068,1046,1105,1056,1034,983,996,697
"$20,000 to $24,999",,,1187,867,788,777,858,987,993,1013,1038,882,1037
"$25,000 to $29,999",,,704,844,697,617,601,600,639,659,713,644,520
"$30,000 to $34,999",,,749,657,479,667,643,608,534,625,691,719,812
"$35,000 to $39,999",,,587,659,552,555,452,401,473,634,548,449,361
"$40,000 to $44,999",,,391,349,450,387,491,495,507,425,517,575,517
"$45,000 to $49,999",,,283,389,296,369,337,332,405,571,445,466,559
"$50,000 to $59,999",,,483,548,603,611,549,516,618,613,670,629,710
"$60,000 to $74,999",,,185,703,792,769,831,799,854,810,598,607,735
"$75,000 to $99,999",,,166,477,752,599,587,634,727,766,854,1098,1019
"$100,000 to $124,999",,,44,205,295,270,372,297,325,410,434,316,483
"$125,000 to $149,999",,,-,95,52,110,110,130,145,126,178,179,150
"$150,000 to $199,999",,,15,72,90,70,76,85,118,146,133,174,247
"$200,000 or more",,,,33,114,81,41,21,34,42,70,110,229
Median household income,"$39,683","$30,225","$25,318","$28,473","$26,108","$25,359","$25,237","$24,144","$25,680","$27,555","$27,397","$28,552","$30,848"
,,,,,,,,,,,,,
30. South Lawndale,,,,,,,,,,,,,
Total,"19,057","19,197","18,445","19,265","16,454","16,690","17,447","18,048","17,920","17,824","17,946","18,078","18,717"
"Less than $10,000",,,"3,635","2,649","1,355","1,517","1,637","1,772","1,735","1,535","1,355","1,310","1,477"
"$10,000 to $14,999",,,1964,1586,1472,1495,1682,1702,1632,1422,1207,853,681
"$15,000 to $19,999",,,"2,283","1,418","1,734","1,817","1,769","1,912","1,829","1,809","1,765","1,680","1,282"
"$20,000 to $24,999",,,"2,578","1,608","1,821","2,012","1,811","1,982","1,873","1,767","1,961","2,367","1,746"
"$25,000 to $29,999",,,"1,795","1,629","1,106","1,089","1,431","1,430","1,377","1,560","1,647","1,393","1,999"
"$30,000 to $34,999",,,"1,519","1,478","1,302","1,369","1,420","1,613","1,455","1,414","1,437","1,526","1,841"
"$35,000 to $39,999",,,"1,253","1,614","1,439","1,433","1,493","1,428","1,346","1,435","1,257","1,146",866
"$40,000 to $44,999",,,892,1303,1062,998,950,937,975,983,1021,1215,1468
"$45,000 to $49,999",,,654,1092,808,766,940,908,717,588,650,710,819
"$50,000 to $59,999",,,719,"1,623","1,456","1,362","1,424","1,261","1,309","1,358","1,409","1,391","1,315"
"$60,000 to $74,999",,,680,"1,327","1,042","1,068","1,144","1,370","1,446","1,405","1,491","1,569","1,545"
"$75,000 to $99,999",,,329,"1,086","1,102","1,035",957,845,980,"1,163","1,218","1,305","1,615"
"$100,000 to $124,999",,,101,559,339,370,439,504,731,810,835,631,707
"$125,000 to $149,999",,,7,118,253,240,220,211,306,276,317,440,742
"$150,000 to $199,999",,,36,106,83,68,75,109,150,242,290,398,446
"$200,000 or more",,,,69,80,51,55,64,59,57,86,144,168
Median household income,"$48,508","$49,371","$44,832","$50,170","$36,763","$34,801","$34,107","$33,385","$34,029","$34,373","$34,445","$35,143","$36,787"
,,,,,,,,,,,,,
31. Lower West Side,,,,,,,,,,,,,
Total,"13,064","13,034","12,143","12,804","12,255","11,997","11,901","11,958","11,836","11,947","12,259","12,465","12,632"
"Less than $10,000",,,2868,1789,1212,1077,1247,1401,1261,1212,1171,891,762
"$10,000 to $14,999",,,1439,1313,912,825,741,829,777,591,659,565,562
"$15,000 to $19,999",,,1627,1379,1169,1130,1011,876,805,662,516,503,448
